#,CUSTOM.date [local], CUSTOM.updateTime [local], OSD.flyTime, OSD.flyTime [s], OSD.latitude, OSD.longitude, OSD.height [ft], OSD.heightMax [ft], OSD.vpsHeight [ft], OSD.altitude [ft], OSD.hSpeed [MPH], OSD.hSpeedMax [MPH], OSD.xSpeed [MPH], OSD.xSpeedMax [MPH], OSD.ySpeed [MPH], OSD.ySpeedMax [MPH], OSD.zSpeed [MPH], OSD.zSpeedMax [MPH], OSD.pitch, OSD.roll, OSD.yaw, OSD.yaw [360], OSD.flycState, OSD.flycCommand, OSD.flightAction, OSD.gpsNum, OSD.gpsLevel, OSD.isGPSUsed, OSD.nonGPSCause, OSD.droneType, OSD.isSwaveWork, OSD.waveError, OSD.goHomeStatus, OSD.batteryType, OSD.ctrlDevice, OSD.isOnGround, OSD.isMotorOn, OSD.isMotorBlocked, OSD.motorStartFailedCause, OSD.motorFailReason, OSD.isImuPreheated, OSD.imuInitFailReason, OSD.isAcceletorOverRange, OSD.isBarometerDeadInAir, OSD.isCompassError, OSD.isGoHomeHeightModified, OSD.canIOCWork, OSD.isNotEnoughForce, OSD.isOutOfLimit, OSD.isPropellerCatapult, OSD.isVibrating, OSD.isVisionUsed, OSD.voltageWarning, GIMBAL.mode, GIMBAL.pitch, GIMBAL.roll, GIMBAL.yaw, GIMBAL.yaw [360], GIMBAL.isPitchAtLimit, GIMBAL.isRollAtLimit, GIMBAL.isYawAtLimit, GIMBAL.isStuck, CAMERA.isPhoto, CAMERA.isVideo, CAMERA.filename, CAMERA.sdCardIsInserted, CAMERA.sdCardState, RC.downlinkSignal, RC.uplinkSignal, RC.aileron, RC.elevator, RC.throttle, RC.rudder, RC.mode, RC.goHomeDepressed, RC.recordDepressed, RC.shutterDepressed, RC.playbackDepressed, RC.wheelDepressed, RC.wheelOffset, RC.custom1Depressed, RC.custom2Depressed, RC.custom3Depressed, RC.custom4Depressed, BATTERY.chargeLevel, BATTERY.currentPV [V], BATTERY.currentCapacity [mAh], BATTERY.fullCapacity [mAh], BATTERY.voltage [V], BATTERY.isCellVoltageEstimated, BATTERY.cellVoltage1 [V], BATTERY.cellVoltage2 [V], BATTERY.cellVoltage3 [V], BATTERY.cellVoltage4 [V], BATTERY.maxCellVoltageDeviation, BATTERY.isCellVoltageDeviationHigh, BATTERY.isVoltageLow, BATTERY.current [A], BATTERY.temperature [F], BATTERY.minTemperature [F], BATTERY.maxTemperature [F], BATTERY.usefulTime [s], BATTERY.goHomeTime [s], BATTERY.landTime [s], BATTERY.goHomeBattery, BATTERY.landBattery, BATTERY.safeFlyRadius, BATTERY.volumeConsume, BATTERY.status, BATTERY.goHomeStatus, BATTERY.goHomeCountdown, BATTERY.lowWarning, BATTERY.lowWarningGoHome, BATTERY.seriousLowWarning, BATTERY.seriousLowWarningLanding, BATTERY.timesCharged, MC.failSafeAction, HOME.latitude, HOME.longitude, HOME.distance [ft], HOME.height [ft], HOME.heightLimit [ft], HOME.isHomeRecord, HOME.goHomeMode, HOME.aircraftHeadDirection, HOME.isDynamicHomePointEnabled, HOME.isReachedLimitDistance, HOME.isReachedLimitHeight, HOME.isCompassCeleing, HOME.compassCeleStatus, HOME.isMultipleFlightModeEnabled, HOME.isBeginnerMode, HOME.isIOCEnabled, HOME.iocMode, HOME.goHomeHeight [ft], HOME.courseLockAngle, HOME.forceLandingHeight [ft], HOME.wind, HOME.dataRecorderFileIndex, RECOVER.appType, RECOVER.appVersion, RECOVER.aircraftName, RECOVER.aircraftSerial, RECOVER.cameraSerial, RECOVER.rcSerial, RECOVER.batterySerial, DETAILS.totalTime [s], DETAILS.totalDistance [ft], DETAILS.maxHeight [ft], DETAILS.maxHorizontalSpeed [MPH], DETAILS.maxVerticalSpeed [MPH], DETAILS.photoNum, DETAILS.videoTime [s], DETAILS.aircraftName, DETAILS.aircraftSerial, DETAILS.cameraSerial, DETAILS.rcSerial, DETAILS.batterySerial, DETAILS.appName, DETAILS.appType, DETAILS.appVersion, APPGPS.latitude, APPGPS.longitude, APPGPS.accuracy, APP.message, APP.tip, APP.warning
1,11/20/2018,48:27.7,0m 0.0s,0,39.8919469,-105.2622263,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.4,4.1,-8.9,351.1,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9,351,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,,,15.402,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,,,,,,,,,Idle,,,TRUE,,FALSE,,Go Home,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,,,,,Calm,,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,,,
2,11/20/2018,48:27.8,0m 0.1s,0.1,39.8919469,-105.2622263,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.4,4.1,-8.9,351.1,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9.1,350.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,,,15.402,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,,,,,,,,,Idle,,,TRUE,,FALSE,,Go Home,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,,,,,Calm,,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,,,
3,11/20/2018,48:27.9,0m 0.2s,0.2,39.8919469,-105.2622263,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.4,4.1,-8.9,351.1,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9.1,350.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,,,,,15.402,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,,,,,,,,,Idle,,,TRUE,,FALSE,,Go Home,,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,,,,,Calm,,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,,,
4,11/20/2018,48:28.0,0m 0.3s,0.3,39.8919469,-105.2622263,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.4,4.1,-8.9,351.1,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9.1,350.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,48,,,,15.387,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,0,0,0,15,10,5628.3,1443.15,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89194609,-105.2622276,0.5,6134.1,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,Data Recorder File Index is 7.,,
5,11/20/2018,48:28.1,0m 0.4s,0.4,39.8919469,-105.2622263,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.3,4.1,-8.9,351.1,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9.1,350.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,48,,,,15.387,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,0,0,0,15,10,5628.3,1443.15,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89194609,-105.2622276,0.5,6134.1,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,,,
6,11/20/2018,48:28.2,0m 0.5s,0.5,39.8919469,-105.2622262,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.4,4.1,-8.9,351.1,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9.1,350.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,48,,,,15.387,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,0,0,0,15,10,5628.3,1443.15,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89194609,-105.2622276,0.6,6134.1,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,,,
7,11/20/2018,48:28.3,0m 0.6s,0.6,39.8919469,-105.2622262,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.4,4.1,-8.8,351.2,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9.1,350.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1535,439,364,364,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,48,,,,15.387,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,0,0,0,15,10,5628.3,1443.15,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89194609,-105.2622276,0.6,6134.1,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,,,
8,11/20/2018,48:28.4,0m 0.7s,0.7,39.8919469,-105.2622262,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.4,4.1,-8.9,351.1,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9.1,350.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,827,604,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,48,,,,15.387,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,0,0,0,15,10,5628.3,1443.15,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89194609,-105.2622276,0.6,6134.1,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,,,
9,11/20/2018,48:28.5,0m 0.8s,0.8,39.8919469,-105.2622262,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.4,4.1,-8.9,351.1,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9.1,350.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,48,,,,15.387,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,0,0,0,15,10,5628.3,1443.15,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89194609,-105.2622276,0.6,6134.1,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,,,
10,11/20/2018,48:28.6,0m 0.9s,0.9,39.8919469,-105.2622262,0,0,0.3,6402,0,0,0,0,0,0,0,0,2.4,4.1,-8.9,351.1,Starting Motors,Other,Takeoff (RC Assisted),16,5,TRUE,,Mavic 2 Enterprise,TRUE,FALSE,,Smart,RC,TRUE,TRUE,FALSE,,,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,Follow Yaw,0,0,-9.1,350.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,Card Too Slow,,,1024,1024,1024,1024,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,48,,,,15.387,FALSE,3.854,3.852,3.85,3.846,0.008,FALSE,FALSE,,,,,0,0,0,15,10,5628.3,1443.15,,Idle,0,25,FALSE,10,TRUE,,Go Home,39.89194609,-105.2622276,0.5,6134.1,393.7,TRUE,1,1,FALSE,FALSE,FALSE,FALSE,0,TRUE,FALSE,FALSE,Course Lock,98.4,,16.4,Calm,7,Android, 4.8.0,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,263.8,6674.6,62.3,45.7,9.4,0,219,dronefo...-Mavic 2 Enterprise,276DFAP001US71,0K8HF9H01103JN,,161AFAB63602YZ,,Android, 4.8.0,,,,,,Compass abnormalSolution: 1. Ensure there are no magnets or metal objects near the aircraft. The ground or walls may contain metal. Move away from sources of interference before attempting flight. 2. Calibrate Compass Before Takeoff.
